LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,ROUND,DATE
40,53:32.606,-,-,193.406,1:18.735,30.0,1.0,2,N. Matsushita,Carlin,Spielberg,Feature Race,Round 6 ,2019-06-30
40,53:35.569,2.963,2.963,193.228,1:18.602,9.0,2.0,8,L. Ghiotto,UNI-Virtuosi,Spielberg,Feature Race,Round 6 ,2019-06-30
40,53:43.034,10.428,7.465,192.78,1:18.625,12.0,3.0,4,N. de Vries,ART Grand Prix,Spielberg,Feature Race,Round 6 ,2019-06-30
40,53:43.392,10.786,0.358,192.759,1:18.573,10.0,4.0,19,A. Hubert,BWT Arden,Spielberg,Feature Race,Round 6 ,2019-06-30
40,53:45.326,12.720,1.934,192.643,1:18.209,34.0,5.0,5,S. Sette Câmara,DAMS,Spielberg,Feature Race,Round 6 ,2019-06-30
40,53:48.120,15.514,2.794,192.476,1:18.468,15.0,6.0,7,G. Zhou,UNI-Virtuosi,Spielberg,Feature Race,Round 6 ,2019-06-30
40,53:49.147,16.541,1.027,192.415,1:18.833,14.0,7.0,1,L. Delétraz,Carlin,Spielberg,Feature Race,Round 6 ,2019-06-30
40,53:54.927,22.321,5.780,192.071,1:18.640,15.0,8.0,16,J. King,MP Motorsport,Spielberg,Feature Race,Round 6 ,2019-06-30
40,53:55.790,23.184,0.863,192.02,1:18.336,32.0,9.0,6,N. Latifi,DAMS,Spielberg,Feature Race,Round 6 ,2019-06-30
40,54:05.525,32.919,9.735,191.444,1:19.086,22.0,10.0,15,J. Aitken,Campos Racing,Spielberg,Feature Race,Round 6 ,2019-06-30
40,54:08.498,35.892,2.973,191.269,1:18.811,15.0,11.0,12,J. Correa,Sauber Junior Team by Charouz,Spielberg,Feature Race,Round 6 ,2019-06-30
40,54:08.594,35.988,0.096,191.263,1:18.938,38.0,12.0,3,N. Mazepin,ART Grand Prix,Spielberg,Feature Race,Round 6 ,2019-06-30
40,54:12.496,39.890,3.902,191.034,1:18.608,13.0,13.0,20,G. Alesi,Trident,Spielberg,Feature Race,Round 6 ,2019-06-30
40,54:18.744,46.138,6.248,190.668,1:18.617,11.0,14.0,11,C. Ilott,Sauber Junior Team by Charouz,Spielberg,Feature Race,Round 6 ,2019-06-30
40,54:42.663,70.057,20.603,189.278,1:19.483,20.0,15.0,21,R. Tveter,Trident,Spielberg,Feature Race,Round 6 ,2019-06-30
40,54:48.348,75.742,5.685,188.951,1:19.128,10.0,16.0,10,S. Gelael,PREMA Racing,Spielberg,Feature Race,Round 6 ,2019-06-30
40,54:49.192,76.586,0.844,188.903,1:19.837,34.0,17.0,18,T. Calderón,BWT Arden,Spielberg,Feature Race,Round 6 ,2019-06-30
39,53:37.351,1 LAP,1 LAP,188.289,1:18.638,11.0,18.0,9,M. Schumacher,PREMA Racing,Spielberg,Feature Race,Round 6 ,2019-06-30
39,53:38.637,1 LAP,1.286,188.214,1:19.879,35.0,19.0,17,P. O'Ward,MP Motorsport,Spielberg,Feature Race,Round 6 ,2019-06-30
29,50:21.114,-,-,203.414,1:41.073,26.0,1.0,8,L. Ghiotto,UNI-Virtuosi,Silverstone,Feature Race,Round 7 ,2019-07-14
29,50:24.428,3.314,3.314,203.191,1:41.220,29.0,2.0,6,N. Latifi,DAMS,Silverstone,Feature Race,Round 7 ,2019-07-14
29,50:28.300,7.186,3.872,202.931,1:41.249,29.0,3.0,7,G. Zhou,UNI-Virtuosi,Silverstone,Feature Race,Round 7 ,2019-07-14
29,50:32.955,11.841,4.655,202.62,1:40.858,24.0,4.0,5,S. Sette Câmara,DAMS,Silverstone,Feature Race,Round 7 ,2019-07-14
29,50:34.858,13.744,1.903,202.493,1:41.182,28.0,5.0,15,J. Aitken,Campos Racing,Silverstone,Feature Race,Round 7 ,2019-07-14
29,50:40.083,18.969,5.225,202.145,1:41.895,22.0,6.0,4,N. de Vries,ART Grand Prix,Silverstone,Feature Race,Round 7 ,2019-07-14
29,50:40.580,19.466,0.497,202.112,1:41.395,27.0,7.0,1,L. Delétraz,Carlin,Silverstone,Feature Race,Round 7 ,2019-07-14
29,50:44.258,23.144,3.678,201.867,1:41.683,25.0,8.0,11,C. Ilott,Sauber Junior Team by Charouz,Silverstone,Feature Race,Round 7 ,2019-07-14
29,50:45.377,24.263,1.119,201.793,1:41.161,29.0,9.0,2,N. Matsushita,Carlin,Silverstone,Feature Race,Round 7 ,2019-07-14
29,50:51.290,30.176,5.913,201.402,1:41.707,28.0,10.0,16,J. King,MP Motorsport,Silverstone,Feature Race,Round 7 ,2019-07-14
29,50:52.214,31.100,0.924,201.341,1:41.654,28.0,11.0,9,M. Schumacher,PREMA Racing,Silverstone,Feature Race,Round 7 ,2019-07-14
29,51:08.822,47.708,0.636,200.252,1:42.318,23.0,12.0,12,J. Correa,Sauber Junior Team by Charouz,Silverstone,Feature Race,Round 7 ,2019-07-14
29,51:13.186,47.072,15.972,200.293,1:41.874,27.0,13.0,14,A. Maini,Campos Racing,Silverstone,Feature Race,Round 7 ,2019-07-14
29,51:40.269,79.155,31.447,198.22,1:43.650,26.0,14.0,18,T. Calderón,BWT Arden,Silverstone,Feature Race,Round 7 ,2019-07-14
29,51:52.230,91.116,11.961,197.459,1:43.211,27.0,15.0,17,M. Raghunathan,MP Motorsport,Silverstone,Feature Race,Round 7 ,2019-07-14
28,49:26.040,DNF,-,200.379,1:42.798,20.0,16.0,3,N. Mazepin,ART Grand Prix,Silverstone,Feature Race,Round 7 ,2019-07-14
28,50:54.317,1 LAP,93.277,194.259,1:42.455,21.0,17.0,20,G. Alesi,Trident,Silverstone,Feature Race,Round 7 ,2019-07-14
28,51:45.723,1 LAP,51.406,191.044,1:41.258,28.0,18.0,19,A. Hubert,BWT Arden,Silverstone,Feature Race,Round 7 ,2019-07-14
37,1:02:40.675,-,-,155.133,1:33.021,2.0,1.0,6,N. Latifi,DAMS,Budapest,Feature Race,Round 8 ,2019-08-04
37,1:02:41.427,0.752,0.752,155.102,1:32.882,8.0,2.0,4,N. de Vries,ART Grand Prix,Budapest,Feature Race,Round 8 ,2019-08-04
37,1:02:41.720,1.045,0.293,155.09,1:33.538,12.0,3.0,15,J. Aitken,Campos Racing,Budapest,Feature Race,Round 8 ,2019-08-04
37,1:02:48.670,7.995,2.713,154.804,1:33.224,11.0,4.0,8,L. Ghiotto,UNI-Virtuosi,Budapest,Feature Race,Round 8 ,2019-08-04
