LAPS,TIME,GAP,INT.,KPH,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE,QUALI TYPE
12,1:14.143,-,-,209.659,1.0,4,N. de Vries,ART Grand Prix,Spielberg,Qualifying Session,17:22:29,Round 6 ,2019-06-30,Unique
12,1:14.309,0.166,0.166,209.191,2.0,19,A. Hubert,BWT Arden,Spielberg,Qualifying Session,17:14:40,Round 6 ,2019-06-30,Unique
12,1:14.371,0.228,0.062,209.016,3.0,7,G. Zhou,UNI-Virtuosi,Spielberg,Qualifying Session,17:22:35,Round 6 ,2019-06-30,Unique
12,1:14.399,0.256,0.028,208.938,4.0,2,N. Matsushita,Carlin,Spielberg,Qualifying Session,17:22:48,Round 6 ,2019-06-30,Unique
12,1:14.429,0.286,0.030,208.854,5.0,8,L. Ghiotto,UNI-Virtuosi,Spielberg,Qualifying Session,17:25:47,Round 6 ,2019-06-30,Unique
13,1:14.483,0.340,0.054,208.702,6.0,6,N. Latifi,DAMS,Spielberg,Qualifying Session,17:22:26,Round 6 ,2019-06-30,Unique
11,1:14.488,0.345,0.005,208.688,7.0,9,M. Schumacher,PREMA Racing,Spielberg,Qualifying Session,17:22:40,Round 6 ,2019-06-30,Unique
12,1:14.625,0.482,0.137,208.305,8.0,1,L. Delétraz,Carlin,Spielberg,Qualifying Session,17:22:38,Round 6 ,2019-06-30,Unique
13,1:14.709,0.566,0.084,208.071,9.0,5,S. Sette Câmara,DAMS,Spielberg,Qualifying Session,17:22:33,Round 6 ,2019-06-30,Unique
13,1:14.755,0.612,0.046,207.943,10.0,11,C. Ilott,Sauber Junior Team by Charouz,Spielberg,Qualifying Session,17:22:51,Round 6 ,2019-06-30,Unique
11,1:14.808,0.665,0.053,207.795,11.0,10,S. Gelael,PREMA Racing,Spielberg,Qualifying Session,17:01:56,Round 6 ,2019-06-30,Unique
12,1:14.882,0.739,0.074,207.59,12.0,3,N. Mazepin,ART Grand Prix,Spielberg,Qualifying Session,17:22:44,Round 6 ,2019-06-30,Unique
13,1:14.887,0.744,0.005,207.576,13.0,12,J. Correa,Sauber Junior Team by Charouz,Spielberg,Qualifying Session,17:01:43,Round 6 ,2019-06-30,Unique
13,1:14.986,0.843,0.099,207.302,14.0,15,J. Aitken,Campos Racing,Spielberg,Qualifying Session,17:01:21,Round 6 ,2019-06-30,Unique
13,1:15.139,0.996,0.153,206.88,15.0,16,J. King,MP Motorsport,Spielberg,Qualifying Session,17:23:07,Round 6 ,2019-06-30,Unique
13,1:15.212,1.069,0.073,206.679,16.0,20,G. Alesi,Trident,Spielberg,Qualifying Session,17:23:02,Round 6 ,2019-06-30,Unique
13,1:15.327,1.184,0.115,206.364,17.0,17,P. O'Ward,MP Motorsport,Spielberg,Qualifying Session,17:01:33,Round 6 ,2019-06-30,Unique
14,1:15.363,1.220,0.036,206.265,18.0,14,A. Maini,Campos Racing,Spielberg,Qualifying Session,17:23:10,Round 6 ,2019-06-30,Unique
11,1:15.435,1.292,0.072,206.068,19.0,21,R. Tveter,Trident,Spielberg,Qualifying Session,17:10:36,Round 6 ,2019-06-30,Unique
15,1:16.164,2.021,0.729,204.096,20.0,18,T. Calderón,BWT Arden,Spielberg,Qualifying Session,17:23:21,Round 6 ,2019-06-30,Unique
11,1:38.182,-,-,216.002,1.0,7,G. Zhou,UNI-Virtuosi,Silverstone,Qualifying Session,16:21:36,Round 7 ,2019-07-14,Unique
11,1:38.410,0.228,0.228,215.502,2.0,8,L. Ghiotto,UNI-Virtuosi,Silverstone,Qualifying Session,16:21:47,Round 7 ,2019-07-14,Unique
11,1:38.511,0.329,0.101,215.281,3.0,5,S. Sette Câmara,DAMS,Silverstone,Qualifying Session,16:02:18,Round 7 ,2019-07-14,Unique
10,1:38.519,0.337,0.008,215.264,4.0,6,N. Latifi,DAMS,Silverstone,Qualifying Session,16:01:58,Round 7 ,2019-07-14,Unique
11,1:38.547,0.365,0.028,215.202,5.0,1,L. Delétraz,Carlin,Silverstone,Qualifying Session,16:20:47,Round 7 ,2019-07-14,Unique
10,1:38.549,0.367,0.002,215.198,6.0,11,C. Ilott,Sauber Junior Team by Charouz,Silverstone,Qualifying Session,16:20:23,Round 7 ,2019-07-14,Unique
12,1:38.613,0.431,0.064,215.058,7.0,4,N. de Vries,ART Grand Prix,Silverstone,Qualifying Session,16:20:11,Round 7 ,2019-07-14,Unique
