LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,ROUND,DATE
23,46:19.610,-,-,160.895,1:46.202,19.0,1.0,2,O. Piastri,PREMA Racing,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:20.384,0.774,0.774,160.851,1:46.529,19.0,2.0,9,C. Lundgaard,ART Grand Prix,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:21.686,2.076,1.302,160.775,1:47.371,18.0,3.0,3,G. Zhou,UNI-Virtuosi,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:22.104,2.494,0.418,160.751,1:46.655,22.0,4.0,6,J. Daruvala,Carlin Racing,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:22.576,2.966,0.472,160.724,1:46.432,22.0,5.0,11,R. Verschoor,MP Motorsport,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:23.369,3.759,0.793,160.678,1:46.963,22.0,6.0,10,T. Pourchaire,ART Grand Prix,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:25.997,6.387,2.628,160.527,1:47.131,22.0,7.0,14,D. Beckmann,Charouz Racing System,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:27.706,8.096,1.709,160.428,1:47.818,18.0,8.0,25,M. Sato,Trident,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:29.343,9.733,1.637,160.334,1:47.272,23.0,9.0,22,M. Nannini,HWA RACELAB,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:31.790,12.180,2.447,160.193,1:48.158,7.0,10.0,17,M. Armstrong,DAMS,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:32.052,12.442,0.262,160.178,1:47.465,18.0,11.0,15,G. Samaia,Charouz Racing System,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:36.354,16.744,4.302,159.932,1:48.827,7.0,12.0,24,B. Viscaal,Trident,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:37.179,17.569,0.825,159.885,1:47.185,18.0,13.0,20,G. Petecof,Campos Racing,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:44.157,24.547,6.978,159.487,1:48.604,9.0,14.0,4,F. Drugovich,UNI-Virtuosi,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:47.081,27.471,2.924,159.321,1:48.804,12.0,15.0,16,R. Nissany,DAMS,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,46:56.590,36.980,9.509,158.783,1:46.287,19.0,16.0,8,J. Vips,Hitech Grand Prix,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
23,47:08.076,48.466,11.486,158.138,1:45.507,21.0,17.0,21,R. Boschung,Campos Racing,Sakhir,Sprint Race 2,Round 1 ,2021-03-28
28,47:53.826,8.068,8.068,117.045,1:35.220,20.0,1.0,5,D. Ticktum,Carlin Racing,Monte Carlo,Sprint Race 2,Round 2 ,2021-05-22
28,47:54.591,8.833,0.765,117.014,1:36.160,28.0,2.0,2,O. Piastri,PREMA Racing,Monte Carlo,Sprint Race 2,Round 2 ,2021-05-22
28,47:54.998,9.240,0.407,116.998,1:35.192,20.0,3.0,8,J. Vips,Hitech Grand Prix,Monte Carlo,Sprint Race 2,Round 2 ,2021-05-22
28,47:55.927,10.169,0.929,116.96,1:35.697,19.0,4.0,10,T. Pourchaire,ART Grand Prix,Monte Carlo,Sprint Race 2,Round 2 ,2021-05-22
28,48:00.094,14.336,4.167,116.791,1:33.704,27.0,5.0,21,R. Boschung,Campos Racing,Monte Carlo,Sprint Race 2,Round 2 ,2021-05-22
28,48:02.207,16.449,2.113,116.705,1:33.463,27.0,6.0,11,R. Verschoor,MP Motorsport,Monte Carlo,Sprint Race 2,Round 2 ,2021-05-22
28,48:07.210,21.452,5.003,116.503,1:35.871,27.0,7.0,12,L. Zendeli,MP Motorsport,Monte Carlo,Sprint Race 2,Round 2 ,2021-05-22
28,48:09.720,23.962,2.510,116.402,1:36.282,27.0,8.0,6,J. Daruvala,Carlin Racing,Monte Carlo,Sprint Race 2,Round 2 ,2021-05-22
28,48:10.136,24.378,0.416,116.385,1:35.959,27.0,9.0,22,J. Aitken,HWA RACELAB,Monte Carlo,Sprint Race 2,Round 2 ,2021-05-22
28,48:33.051,47.293,22.915,115.469,1:30.728,28.0,10.0,1,R. Shwartzman,PREMA Racing,Monte Carlo,Sprint Race 2,Round 2 ,2021-05-22
