,LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,SCHEDULE,TYPE,LAP SET ON,QUALI TYPE
0,40,56:31.050,-,-,183.228,1:18.085,37.0,1,22,R. Verschoor,Van Amersfoort Racing,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
1,40,56:31.465,0.415,0.415,183.206,1:17.575,37.0,2,11,A. Iwasa,DAMS,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
2,40,56:32.971,1.921,1.506,183.125,1:17.695,12.0,3,7,F. Vesti,PREMA Racing,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
3,40,56:33.272,2.222,0.301,183.108,1:18.146,11.0,4,14,J. Doohan,Invicta Virtuosi Racing,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
4,40,56:33.910,2.860,0.638,183.074,1:17.673,37.0,5,8,O. Bearman,PREMA Racing,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
5,40,56:34.197,3.147,0.287,183.059,1:17.655,38.0,6,4,E. Fittipaldi,Carlin,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
6,40,56:37.764,6.714,3.567,182.866,1:18.422,12.0,7,5,T. Pourchaire,ART Grand Prix,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
7,40,56:38.398,7.348,0.634,182.832,1:18.622,40.0,8,9,J. Crawford,Hitech Pulse-Eight,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
8,40,56:39.021,7.971,0.623,182.799,1:18.192,14.0,9,6,V. Martins,ART Grand Prix,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
9,40,56:40.393,9.343,1.372,182.725,1:18.146,11.0,10,2,J. Daruvala,MP Motorsport,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
10,40,56:40.632,9.582,0.239,182.712,1:17.899,39.0,11,1,D. Hauger,MP Motorsport,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
11,40,56:40.965,9.915,0.333,182.694,1:17.825,39.0,12,10,I. Hadjar,Hitech Pulse-Eight,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
12,40,56:42.644,11.594,1.679,182.604,1:18.335,39.0,13,21,C. Novalak,Trident,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
13,40,56:44.070,13.020,1.426,182.528,1:17.948,15.0,14,25,R. Boschung,Campos Racing,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
14,40,56:45.672,14.622,1.602,182.442,1:18.355,13.0,15,3,Z. Maloney,Carlin,Spielberg,Round 8 |30-02 July 2023,Feature Race,,Unique
